sample,target,actual,output,deltat,sumi,outp,outi,outd,error,derror
146,80.5698,73.2477,0.563989,0.025543,2.8615,0,0,0,7.32217,2867.62
147,83.2394,79.3732,0.582676,0.02557,2.96036,0,0,0,3.86613,3104.15
148,83.2394,81.9094,0.582676,0.025596,2.9944,0,0,0,1.33,3200.08
149,82.5069,82.9311,0.577548,0.025545,2.98356,-0,0,0,-0.424172,3246.47
150,82.1455,82.9365,0.575019,0.025565,2.96334,-0,0,0,-0.79095,3244.14
151,81.8066,82.9646,0.572646,0.02557,2.93373,-0,0,0,-1.15804,3244.61
152,81.357,83.9429,0.569499,0.025587,2.86757,-0,0,0,-2.58591,3280.68
153,77.5251,81.8837,0.542676,0.025576,2.75609,-0,0,0,-4.35862,3201.59
154,71.3632,81.9329,0.499542,0.025524,2.48631,-0,0,0,-10.5697,3210.03
155,67.2636,76.8612,0.470845,0.025538,2.24121,-0,0,0,-9.59761,3009.68
156,63.9764,73.6973,0.447835,0.025669,1.99168,-0,0,0,-9.72087,2871.06
157,60.7139,66.5297,0.424997,0.025527,1.84322,-0,0,0,-5.81582,2606.25
158,57.0732,65.4968,0.399512,0.025549,1.62801,-0,0,0,-8.42358,2563.57
159,54.9634,60.0987,0.384744,0.026028,1.49435,-0,0,0,-5.13528,2309
160,54.9634,58.6563,0.384744,0.026084,1.39802,-0,0,0,-3.69293,2248.75
161,51.2396,54.5591,0.358677,0.025623,1.31296,-0,0,0,-3.31947,2129.3
162,47.1372,53.894,0.329961,0.02553,1.14046,-0,0,0,-6.75675,2111.01
163,43.3046,51.1014,0.303132,0.025694,0.940133,-0,0,0,-7.79683,1988.85
164,39.4779,48.1374,0.276345,0.02546,0.719662,-0,0,0,-8.65953,1890.71
165,35.5439,44.0091,0.248807,0.025585,0.503079,-0,0,0,-8.46522,1720.11
166,32.3542,39.9908,0.22648,0.025549,0.307973,-0,0,0,-7.63653,1565.26
167,29.5083,36.5973,0.206558,0.026124,0.12278,-0,0,0,-7.08902,1400.91
168,26.2207,32.5537,0.183545,0.025531,-0.0389063,-0,-0,0,-6.33294,1275.06
169,22.8872,29.3033,0.16021,0.026072,-0.206186,-0,-0,0,-6.41607,1123.94
170,19.5062,26.4687,0.136544,0.025546,-0.38405,-0,-0,0,-6.9625,1036.12
171,16.0784,23.3967,0.112549,0.02559,-0.571326,-0,-0,0,-7.31832,914.292
172,12.995,19.455,0.0909651,0.025567,-0.736488,-0,-0,0,-6.45998,760.942
173,9.86692,16.3782,0.0690684,0.025569,-0.902976,-0,-0,0,-6.51132,640.551
174,6.65641,13.3146,0.0465949,0.025548,-1.07308,-0,-0,0,-6.6582,521.161
175,3.42397,10.2404,0.0239678,0.025579,-1.24744,-0,-0,0,-6.81644,400.344
176,0.53913,6.10563,0.00377391,0.026054,-1.39247,-0,-0,0,-5.5665,234.345
177,-2.84452,4.07158,-0.0199116,0.025526,-1.56901,-0,-0,0,-6.9161,159.507
178,-2.84452,1.01146,-0.0199116,0.02607,-1.66953,-0,-0,0,-3.85598,38.7978
