Entering mode: Disabled
Entering mode: Autonomous
0.394024: Starting autonomous program
0.394024: Starting step 'set motor voltage, duration = 5 seconds, left voltage = -0.25, right voltage = 0.25'
5.397261: Ending step 'set motor voltage, duration = 5 seconds, left voltage = -0.25, right voltage = 0.25'
5.397261: Starting step 'AutoPrintPosition'
Sample 145: Time 1.565374, Positions 0.103105, 0.022853 @ 143.172695
Sample 146: Time 1.581034, Positions 0.103105, 0.022853 @ 146.723835
Sample 147: Time 1.596664, Positions 0.103105, 0.022853 @ 150.321797
Sample 148: Time 1.612295, Positions 0.103105, 0.022853 @ 153.966567
Sample 149: Time 1.627913, Positions 0.103105, 0.022853 @ 157.658138
Sample 150: Time 1.643520, Positions 0.103105, 0.022853 @ 161.349709
Sample 151: Time 1.659144, Positions 0.103105, 0.022853 @ 165.134983
Sample 152: Time 1.674765, Positions 0.103105, 0.022853 @ 168.967085
Sample 153: Time 1.690441, Positions 0.103105, 0.022853 @ 172.846120
Sample 154: Time 1.706005, Positions 0.103105, 0.022853 @ 176.771858
Sample 155: Time 1.721668, Positions 0.103105, 0.022853 @ -179.255635
Sample 156: Time 1.737289, Positions 0.103105, 0.022853 @ -175.236315
Sample 157: Time 1.752885, Positions 0.103105, 0.022853 @ -171.216995
Sample 158: Time 1.768579, Positions 0.103105, 0.022853 @ -167.103700
Sample 159: Time 1.784164, Positions 0.103105, 0.022853 @ -162.943673
Sample 160: Time 1.799737, Positions 0.103105, 0.022853 @ -158.736954
Sample 161: Time 1.815433, Positions 0.103105, 0.022853 @ -154.483234
Sample 162: Time 1.831021, Positions 0.103105, 0.022853 @ -150.182780
Sample 163: Time 1.846655, Positions 0.103105, 0.022853 @ -145.835424
Sample 164: Time 1.862287, Positions 0.103105, 0.022853 @ -141.441289
Sample 165: Time 1.877921, Positions 0.103105, 0.022853 @ -137.000293
Sample 166: Time 1.893555, Positions 0.103105, 0.022853 @ -132.512454
Sample 167: Time 1.909151, Positions -0.251991, -0.396677 @ -127.977750
Sample 168: Time 1.924794, Positions 0.068640, 0.049744 @ -123.396152
Sample 169: Time 1.940399, Positions 0.068640, 0.049744 @ -118.767788
Sample 170: Time 1.956058, Positions 0.068640, 0.049744 @ -114.092583
Sample 171: Time 1.971670, Positions 0.068640, 0.049744 @ -109.370505
Sample 172: Time 1.987280, Positions 0.068640, 0.049744 @ -104.601607
Sample 173: Time 2.002912, Positions 0.068640, 0.049744 @ -99.785878
Sample 174: Time 2.018528, Positions 0.068640, 0.049744 @ -94.970149
Sample 175: Time 2.034175, Positions 0.068640, 0.049744 @ -90.107556
Sample 176: Time 2.049794, Positions 0.068640, 0.049744 @ -85.151266
Sample 177: Time 2.065435, Positions 0.068640, 0.049744 @ -80.148088
Sample 178: Time 2.081058, Positions 0.068640, 0.049744 @ -75.144909
Sample 179: Time 2.096660, Positions 0.068640, 0.049744 @ -70.094852
Sample 180: Time 2.112317, Positions 0.068640, 0.049744 @ -64.951158
Sample 181: Time 2.127938, Positions 0.068640, 0.049744 @ -59.760618
Sample 182: Time 2.143553, Positions 0.068640, 0.049744 @ -54.523282
Sample 183: Time 2.159173, Positions 0.068640, 0.049744 @ -49.239123
Sample 184: Time 2.174805, Positions 0.068640, 0.049744 @ -43.908109
Sample 185: Time 2.190439, Positions 0.068640, 0.049744 @ -38.530249
Sample 186: Time 2.206049, Positions 0.068640, 0.049744 @ -33.152388
Sample 187: Time 2.221710, Positions 0.610276, -0.268243 @ -27.680760
Sample 188: Time 2.237337, Positions 0.040683, -0.003586 @ -22.162321
Sample 189: Time 2.252952, Positions 0.040683, -0.003586 @ -16.597044
Sample 190: Time 2.268585, Positions 0.040683, -0.003586 @ -10.984903
Sample 191: Time 2.284205, Positions 0.584680, -0.081545 @ -5.325939
Sample 192: Time 2.299809, Positions 0.035641, -0.057832 @ 0.379796
Sample 193: Time 2.315432, Positions 0.035641, -0.057832 @ 6.132363
